id,date,entry_time,session,pair,direction,htf_bias,mtf_phase,probability,entry_model,poi_mitigated,poi_stacked_htf,poi_unmitigated,lq_swept,well_priced,entry_price,sl_price,tp_price,sl_pips,entry_candle_size,risk_pct,exit_price,exit_reason,result_r,max_r,mae_r,entry_news,mgmt_news,screenshot,notes
T0001,2025-01-06,9:05,NY,EURUSD,LONG,BULL,A2,MED,LC-2A,True,False,True,True,True,,,,17.6,7.0,0.5,,TP,3.0,4.11,-0.2,,,,
T0002,2025-01-07,9:50,LDN,EURUSD,SHORT,BULL,C,LOW,LC-2A,True,True,True,True,True,,,,23.5,6.3,0.5,,TP,3.0,8.08,-0.56,,,,
T0003,2025-01-10,9:20,LDN,EURUSD,LONG,BEAR,C,MED,LC-2A,True,False,False,False,True,,,,16.2,7.9,0.5,,SL,-1.0,0.21,-0.38,,,,
T0004,2025-01-13,13:35,LDN_LULL,GBPUSD,SHORT,BEAR,A,HIGH,LC-2A,True,True,True,True,False,,,,21.8,2.4,0.5,,SL,-1.0,1.32,-0.28,,,,
T0005,2025-01-16,8:05,LDN_LULL,EURUSD,LONG,BEAR,A2,MED,LC-2A,True,True,True,True,False,,,,16.3,2.5,0.5,,TP,3.0,7.04,-0.49,,,,
T0006,2025-01-17,12:20,LDN,EURUSD,LONG,BULL,D,HIGH,PBL,True,True,True,True,True,,,,14.5,3.6,0.5,,SL,-1.0,0.01,-0.38,,,,
T0007,2025-01-20,14:05,LDN_LULL,GBPUSD,SHORT,BEAR,C,HIGH,LC-2A,True,True,True,True,True,,,,25.1,7.9,0.5,,SL,-1.0,0.79,-0.1,,,,
T0008,2025-01-21,7:20,NY,GBPUSD,LONG,BEAR,A,MED,LC-2A,True,False,False,True,True,,,,19.0,4.9,0.5,,SL,-1.0,1.76,-0.43,,,,
T0009,2025-01-23,8:05,LDN,GBPUSD,LONG,BULL,A,MED,LC-2A,True,False,True,True,True,,,,22.9,7.1,0.5,,TP,3.0,7.67,-0.82,,,,
T0010,2025-01-27,8:20,LDN_LULL,EURUSD,LONG,BEAR,C,MED,LC-2A,True,True,True,True,True,,,,12.0,3.6,0.5,,TP,3.0,9.23,-0.86,,,,
T0011,2025-01-30,7:20,LDN_LULL,EURUSD,SHORT,BULL,C,MED,LC-1,True,False,False,True,True,,,,9.4,7.5,0.5,,SL,-1.0,0.62,-0.58,,,,
T0012,2025-01-31,14:35,LDN,GBPUSD,SHORT,BEAR,RANGE,MED,LC-1,True,False,True,True,False,,,,11.2,2.2,0.5,,SL,-1.0,1.06,-0.42,,,,
T0013,2025-02-03,13:20,LDN,EURUSD,LONG,BULL,C,MED,LC-2A,True,False,False,False,True,,,,10.8,3.5,0.5,,SL,-1.0,0.53,-0.22,,,,
T0014,2025-02-05,12:50,NY,EURUSD,LONG,BULL,A2,HIGH,LC-2A,True,False,False,True,False,,,,14.4,2.9,0.5,,SL,-1.0,0.25,-0.56,,,,
T0015,2025-02-06,7:05,LDN,EURUSD,SHORT,BULL,C,MED,LC-2A,True,False,True,True,False,,,,22.1,7.5,0.5,,SL,-1.0,0.8,-0.55,,,,
